word,part_of_speech,semantic_category,errors/0/misspelling,errors/0/error_type,errors/0/frequency,errors/0/severity,errors/0/affected_portion,errors/1/misspelling,errors/1/error_type,errors/1/frequency,errors/1/severity,errors/1/affected_portion,errors/2/misspelling,errors/2/error_type,errors/2/frequency,errors/2/severity,errors/2/affected_portion,errors/3/misspelling,errors/3/error_type,errors/3/frequency,errors/3/severity,errors/3/affected_portion,errors/4/misspelling,errors/4/error_type,errors/4/frequency,errors/4/severity,errors/4/affected_portion,errors/5/misspelling,errors/5/error_type,errors/5/frequency,errors/5/severity,errors/5/affected_portion
moja,noun,numbers,moje,vowel substitution,6,3,a → e,ja,syllable omission,7,2,mo,,,,,,,,,,,,,,,,,,,,
moja,noun,numbers,moje,vowel substitution,22,2,a → e,ja,syllable omission,9,4,mo,,,,,,,,,,,,,,,,,,,,
moja,noun,numbers,moje,vowel substitution,16,4,a → e,ja,syllable omission,6,4,mo,,,,,,,,,,,,,,,,,,,,
moja,noun,numbers,moje,vowel substitution,13,5,a → e,ja,syllable omission,5,4,mo,,,,,,,,,,,,,,,,,,,,
moja,noun,numbers,moje,vowel substitution,23,5,a → e,ja,syllable omission,3,4,mo,,,,,,,,,,,,,,,,,,,,
moja,noun,numbers,moje,vowel substitution,5,4,a → e,ja,syllable omission,8,5,mo,,,,,,,,,,,,,,,,,,,,
moja,noun,numbers,moje,vowel substitution,13,5,a → e,ja,syllable omission,8,4,mo,,,,,,,,,,,,,,,,,,,,
moja,noun,numbers,moje,vowel substitution,5,3,a → e,ja,syllable omission,2,4,mo,,,,,,,,,,,,,,,,,,,,
moja,noun,numbers,moje,vowel substitution,7,5,a → e,ja,syllable omission,5,5,mo,,,,,,,,,,,,,,,,,,,,
moja,noun,numbers,moje,vowel substitution,18,5,a → e,ja,syllable omission,1,3,mo,,,,,,,,,,,,,,,,,,,,
moja,noun,numbers,moje,vowel substitution,16,4,a → e,ja,syllable omission,9,2,mo,,,,,,,,,,,,,,,,,,,,
moja,noun,numbers,moje,vowel substitution,20,4,a → e,ja,syllable omission,1,3,mo,,,,,,,,,,,,,,,,,,,,
moja,noun,numbers,moje,vowel substitution,6,2,a → e,ja,syllable omission,7,5,mo,,,,,,,,,,,,,,,,,,,,
moja,noun,numbers,moje,vowel substitution,13,3,a → e,ja,syllable omission,6,4,mo,,,,,,,,,,,,,,,,,,,,
moja,noun,numbers,moje,vowel substitution,13,1,a → e,ja,syllable omission,3,3,mo,,,,,,,,,,,,,,,,,,,,
moja,noun,numbers,moje,vowel substitution,15,5,a → e,ja,syllable omission,9,5,mo,,,,,,,,,,,,,,,,,,,,
moja,noun,numbers,moje,vowel substitution,9,3,a → e,ja,syllable omission,3,3,mo,,,,,,,,,,,,,,,,,,,,
moja,noun,numbers,moje,vowel substitution,5,5,a → e,ja,syllable omission,8,2,mo,,,,,,,,,,,,,,,,,,,,
moja,noun,numbers,moje,vowel substitution,15,5,a → e,ja,syllable omission,1,4,mo,,,,,,,,,,,,,,,,,,,,
moja,noun,numbers,moje,vowel substitution,15,3,a → e,ja,syllable omission,5,3,mo,,,,,,,,,,,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,16,2,b → d,mbele,vowel substitution,16,2,i → e,mbiri,consonant confusion,5,3,l → r,ili,syllable omission,9,5,mb,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,14,1,b → d,mbele,vowel substitution,23,1,i → e,mbiri,consonant confusion,19,3,l → r,ili,syllable omission,3,2,mb,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,16,3,b → d,mbele,vowel substitution,18,1,i → e,mbiri,consonant confusion,14,3,l → r,ili,syllable omission,9,2,mb,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,8,1,b → d,mbele,vowel substitution,7,5,i → e,mbiri,consonant confusion,16,4,l → r,ili,syllable omission,8,2,mb,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,12,4,b → d,mbele,vowel substitution,7,3,i → e,mbiri,consonant confusion,14,1,l → r,ili,syllable omission,6,3,mb,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,12,2,b → d,mbele,vowel substitution,16,4,i → e,mbiri,consonant confusion,6,3,l → r,ili,syllable omission,5,5,mb,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,9,3,b → d,mbele,vowel substitution,9,1,i → e,mbiri,consonant confusion,14,5,l → r,ili,syllable omission,3,2,mb,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,12,5,b → d,mbele,vowel substitution,8,1,i → e,mbiri,consonant confusion,12,3,l → r,ili,syllable omission,8,5,mb,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,14,4,b → d,mbele,vowel substitution,17,2,i → e,mbiri,consonant confusion,6,2,l → r,ili,syllable omission,6,4,mb,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,9,2,b → d,mbele,vowel substitution,11,1,i → e,mbiri,consonant confusion,18,1,l → r,ili,syllable omission,4,3,mb,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,13,2,b → d,mbele,vowel substitution,5,2,i → e,mbiri,consonant confusion,18,3,l → r,ili,syllable omission,6,4,mb,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,12,2,b → d,mbele,vowel substitution,17,1,i → e,mbiri,consonant confusion,14,2,l → r,ili,syllable omission,10,2,mb,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,7,3,b → d,mbele,vowel substitution,8,5,i → e,mbiri,consonant confusion,15,3,l → r,ili,syllable omission,3,5,mb,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,14,5,b → d,mbele,vowel substitution,23,1,i → e,mbiri,consonant confusion,7,4,l → r,ili,syllable omission,8,2,mb,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,18,2,b → d,mbele,vowel substitution,19,5,i → e,mbiri,consonant confusion,6,3,l → r,ili,syllable omission,5,5,mb,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,7,3,b → d,mbele,vowel substitution,15,2,i → e,mbiri,consonant confusion,11,1,l → r,ili,syllable omission,1,4,mb,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,9,2,b → d,mbele,vowel substitution,12,4,i → e,mbiri,consonant confusion,17,2,l → r,ili,syllable omission,5,5,mb,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,17,1,b → d,mbele,vowel substitution,7,3,i → e,mbiri,consonant confusion,19,2,l → r,ili,syllable omission,2,5,mb,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,7,1,b → d,mbele,vowel substitution,13,5,i → e,mbiri,consonant confusion,18,4,l → r,ili,syllable omission,8,4,mb,,,,,,,,,,
mbili,noun,numbers,mdili,letter reversal,9,1,b → d,mbele,vowel substitution,11,5,i → e,mbiri,consonant confusion,8,4,l → r,ili,syllable omission,10,4,mb,,,,,,,,,,
tatu,noun,numbers,tetu,vowel substitution,16,2,a → e,tato,vowel substitution,6,1,u → o,tu,syllable omission,2,2,ta,,,,,,,,,,,,,,,
tatu,noun,numbers,tetu,vowel substitution,11,3,a → e,tato,vowel substitution,18,2,u → o,tu,syllable omission,2,5,ta,,,,,,,,,,,,,,,
tatu,noun,numbers,tetu,vowel substitution,15,2,a → e,tato,vowel substitution,19,3,u → o,tu,syllable omission,1,4,ta,,,,,,,,,,,,,,,
tatu,noun,numbers,tetu,vowel substitution,23,3,a → e,tato,vowel substitution,9,4,u → o,tu,syllable omission,9,2,ta,,,,,,,,,,,,,,,
tatu,noun,numbers,tetu,vowel substitution,24,2,a → e,tato,vowel substitution,25,3,u → o,tu,syllable omission,4,3,ta,,,,,,,,,,,,,,,
tatu,noun,numbers,tetu,vowel substitution,8,3,a → e,tato,vowel substitution,20,1,u → o,tu,syllable omission,5,2,ta,,,,,,,,,,,,,,,
tatu,noun,numbers,tetu,vowel substitution,6,4,a → e,tato,vowel substitution,24,5,u → o,tu,syllable omission,8,3,ta,,,,,,,,,,,,,,,
tatu,noun,numbers,tetu,vowel substitution,13,4,a → e,tato,vowel substitution,24,2,u → o,tu,syllable omission,3,4,ta,,,,,,,,,,,,,,,
tatu,noun,numbers,tetu,vowel substitution,18,2,a → e,tato,vowel substitution,19,5,u → o,tu,syllable omission,9,3,ta,,,,,,,,,,,,,,,
tatu,noun,numbers,tetu,vowel substitution,19,4,a → e,tato,vowel substitution,15,5,u → o,tu,syllable omission,1,5,ta,,,,,,,,,,,,,,,
tatu,noun,numbers,tetu,vowel substitution,18,2,a → e,tato,vowel substitution,20,3,u → o,tu,syllable omission,10,5,ta,,,,,,,,,,,,,,,
